Resource,Resource URL,Email-General,Phone-General,Address,Email-Contact,Contact,Phone-Contact,Resource Description,Resource Type,Facebook URL,Twitter URL,Instagram,Audience,Population Focus,Location,Campuses,College eligibility,Availability,Deadline,Innovation Type,Funding Amount if applicable,Topic,Technology,Client Tags,"Notes, estimated time to complete",Attachments,Approved,Approved by,Last updated,Flagged,Flagged comment,Process,Organization
Chancellor's Community Partnership Fund at UC Berkeley,http://chancellor.berkeley.edu/gcr/local-community/ccpf,,,,,,,"A total of $250,000 will be awarded to 18 partnerships that aim to improve the quality of life in Berkeley through education, art and culture, economic self-sufficiency, neighborhood development, and community safety. Each of the funded projects will be carried out collaboratively, featuring a partnership between a local organization and UC Berkeley, students, faculty or staff.",Fellowships & Scholarships,,,,,,"Bay Area,UC Berkeley",,,"Spring,Fall",,,,"Cities,""Climate, Environment, & Oceans"",Education & Learning",,OnRamp,"2016-17* GRANT application TIMELINE

please note, the 2017-18 cycle will launch in Fall 2016. The timeline will be similar to the below:

Fall semester dates
September 24, 2015: Grant Application Cycle Launched
December 11, 2015: Pre-Application Forms Due

Spring semester dates
Late January/Early February: Full Applications Requested from Selected Applicants
March 7, 2016: Full Applications Due
May 2016: 2016 - 2017 Partnership Grant Awards Announced

see: http://chancellor.berkeley.edu/sites/default/files/2016-2017_FAQs.pdf",,,RC (May 27),,,,Application,UC Berkeley Chancellor's Office
"Equity, Inclusion and Diversity Innovation Grants at UC Berkeley",http://diversity.berkeley.edu/programs-services/grants-awards,,,,,,,"Innovation Grants offered to students, faculty, and staff that are meant to encourage new and sustainable projects to promote equity, inclusion, and diversity on the UC Berkeley campus.",Fellowships & Scholarships,,,,"Graduate Student,Staff,Faculty,Undergraduate Student",,Global,,,Rolling,,,,"""Equality, Human Rights, & Justice"",Education & Learning",,OnRamp,Deadline: ?? (Feburary)?,,,RC (May 27),,,,Applicaiton,UC Berkeley Division of Equity and Inclusion
Global Venture Lab Summit,http://scet.berkeley.edu/global-venture-lab/,,,,,,,"Platform for Berkeley participants to launch startup companies in the real-world setting. Awards include office space, mentorship, and prize money, up to $30,000!",Competitions,,,,"Undergraduate Student,Graduate Student",,UC Berkeley,,,Spring,,Startups,,General,,OnRamp,"The Summit in 2016 took place from Thursday, January 7, 2016 to Friday, January 8th at the David Brower Center in Berkeley",,,RC )May 28),,,,?,UC Berkeley Pantas and Ting Sutardja Center for Entrepreneurship & Technology
Delta Prize,http://scet.berkeley.edu/ventures/delta-prize/,,,,,,,"Purpose is to accelerate the growth of early-stage ventures affiliated with UC Berkeley that have a minimum viable product and some measurable validation with the singular goal of preparing new ventures to be investor-ready. A total prize amount of $15,000 will be shared among the top two or three teams during a 2.5-month program that includes workspace, access to a broad network of advisors and mentors (with the possibility of a match), and a vibrant community of entrepreneurs.",Competitions,,,,,,UC Berkeley,,,"Spring,Summer,Fall",,Startups,,General,,OnRamp,"the Venture Lab Competition is now the Delta Prize, I believe

Spring 2016 Applicaiton Deadline: Jan. 29, 2016

Eligibility:
At least one founder must be a current UC Berkeley student, postdoctoral scholar, faculty member or a UC Berkeley alumnus who has graduated in the last 5 years.
We welcome teams that have graduated from other CITRIS Foundry, Free Ventures, or startup competitions at UC Berkeley, although participation in other programs is not necessary.",,,RC )May 28),,,,Application,UC Berkeley Pantas and Ting Sutardja Center for Entrepreneurship & Technology
Graduate Student Grants and Funding Awards,https://ga.berkeley.edu/funding/,,,,,,,"Provides registered graduate student organizations (RSOs) additional funding up to $1200 for larger projects in the area of Student Activism, Campus Diversity, Community Service, and Educational improvement. Also provides funding for grad meetings, events, resources, publications, reavel, and contingency grants of varying amounts. ",Fellowships & Scholarships,,,,Graduate Student,,UC Berkeley,,,Rolling,,,,General,,OnRamp,"Spring deadline for Grad Meetings,publications, travel, and contingency grants (2/4/16-5/13/16): Jan 20, 2016",,,RC )May 28),,,,Application,UC Berkeley Graduate Assembly
Peter E. Haas Public Service Leaders Program,http://publicservice.berkeley.edu/haasleaders,,,,,,,"Provides need-based scholarships ranging from $2,000 to $6,000 for undergraduates to serve 10 to 15 hours per week in off-campus social action activities and engage in a year-long leadership development program through the Public Service Center.",Fellowships & Scholarships,,,,Undergraduate Student,,UC Berkeley,Berkeley,,Spring,,,,General,,OnRamp,"Criteria: Student must be eligible for financial aid or Dream Act

2016-17 Academic Year Deadline: 
March 9, 2016: Application will goes live 
March 30, 2016: Application process closes",,,RC )May 28),,,,Application,UC Berkeley Public Service Center
Unilever Sustainable Living Young Entrepreneurs Award,https://www.unilever.com/news/news-and-features/2015/Have-you-got-an-idea-to-save-the-world.html,,,,,,,"Provides six innovators aged 30 or under cash prizes of $10,000 along with support and mentorship for projects involving innovative and scaleable technologies or initiatives that tackle challenges of sustainabile living related to one or more of the 8 Global Goals for Sustainabile Development (SDGs). One winner receives a $50k cash prize and is awarded at the HRH The prince of Wales Young Sustainability Entrepreur Prize at an event in London and $25k worht of support and mentoring.",Competitions,,,,Other,,Global,,,Fall,,Startups,,"Cities,""Equality, Human Rights, & Justice"",""Climate, Environment, & Oceans""",,OnRamp,"2016 Awards Deadline; November 18, 2015

Projects must relate to one or omore of the UN Global Development Goals (sustainabile development goals)",,,RC )May 28),,,,Application,Unilever
UnLtd Awards,http://unltd.org.uk/path/,,,,,,,"Supports early-stage social entrepreneurs of all ages and backgrounds in the UK with various Awards programs that provides  funding, advice, networking, and practical support. Also provides research, policy and advocacy work, to understand and develop a supportive environment for social entrepreneurs.",Competitions,,,,Other,,Global,,,Rolling,,Startups,,General,,OnRamp,Special awards also provided for students at the University in England,,,RC )May 28),,,,Application,UnLtd
UnLtd's Big Venture Challenge,https://unltd.org.uk/bvc/entrepreneur/,,,,,,,"An intensive 11 month program offered to 20 social entrepreneurs in England and the Greater London area, providing £20,000 in match grants, as well as Venture and Investment Managers, social and legal support, consultancy, and invitations to themed events. Runs themed and regional cohorts every year, with the 2016 theme on Education, Training and Skills. ",Competitions,,,,Other,,Global,,,Spring,,Startups,,General,,OnRamp,"UK-based only - ""We are calling for entrepreneurs from all over England and looking to find at least 40% of the ventures from outside the Greater London area.""

IG VENTURE CHALLENGE 2016 COHORT APPLICATIONS ARE NOW CLOSED: The deadline for applications waz 7th of March 2016.",,,RC )May 28),,,,Application,UnLtd
Milken-Penn GSE Education Business Plan Competition,https://www.educationcompetition.org/competition,,,,,,,"Provites multiple cash prizes worth $1k - $40k to social entrepreneurs and investors with innovative ideas or ventures  in education from around the world, ranging from those structured on local or global needs, public or private issues, Pre-K through adult education, and social or for-profit ventures.",Competitions,,,,,,Global,,,Winter,,,,"International Development,Education & Learning",,OnRamp,"2016 Competition details:

February 23 - Appliction deadline
May 10-11 = Competition and conference in Philadelphia 

Anyone can apply, EXCEPT ""Any Graduate School of Education faculty, lecturer, administrator, staff, or other employee""

Read eligibility: https://www.educationcompetition.org/how-to-apply#eligibility",,,RC )May 28),,,,Application,Univeristy of Pennsylvania Graduate School of Education and the Mliken Family Foundation
EDSi Fellows Program,http://www.e-designstudio.com/experience/,,,,,,,"Finalists and semi-finalists of the Milken-Penn GSE Education Business Plan Competition can apply for a 6-month hybrid of virtual weekly learning sessions and five in-person weekend intensives helping entrepreneurs build their companies, with guidance from business and edtech experts in the field. ",Fellowships & Scholarships,,,,,,Global,,,Winter,,,,"International Development,Education & Learning",,OnRamp,"New opportunity that I added 

The entry point to EDSi is the Milken-Penn Business Plan competition (see above)",,,RC )May 28),,,,Application,Univeristy of Pennsylvania Graduate School of Education and the Mliken Family Foundation and the Education Design Studio (EDS)
USASBE,http://www.usasbe.org/?,,,,,,,"Features different competitions such as the ""Food Innovation Challenge, Society of Arts Entrepreneurship Education, awards, conferences, certificate programs, and ""experiential exercises and classrooms"" for entrepreneurship scholars and educators. ",Competitions,,,,"Undergraduate Student,Graduate Student",,Global,,,"Spring,Fall,Winter",,Startups,,Education & Learning,,OnRamp,"The program might not exist, but I did find information on the miain website: 

http://www.usasbe.org/?

They seem to offer Awards and Fellowships, as well as just a general database of competitions and entrepreneurship opportunities. 

4: Fall (November), Winter (December), Winter (Feburary), Spring (March)",,,RC )May 28),,,,Application,US Association of Small Business and Entrepreneurship
